id,title,description,type,release_year,genres,production_countries,Netflix Link,TMDb Trailer,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,type_netflix
ts76865,Devilman Crybaby,"Akira Fudo learns from his best friend Ryo Asuka that demons will revive and reclaim the world from humans. With humans hopeless against this threat, Ryo suggests combining with a demon. With this, Akira becomes Devilman, a being with the power of demon but with a human heart.",SHOW,2018,"scifi, animation, action, drama, fantasy, horror",JP,https://www.netflix.com/watch/80174974,https://www.youtube.com/watch?v=HmOWPSc9Vv8,25,7.6,18575.0,37.228,7.887,1
tm371900,Calibre,Two lifelong friends head up to an isolated Scottish Highlands village for a weekend hunting trip that descends into a never-ending nightmare as they attempt to cover up a horrific hunting accident.,MOVIE,2018,"thriller, horror, drama",GB,https://www.netflix.com/watch/80198478,https://www.youtube.com/watch?v=x6yaSYAk2KU,101,6.8,27622.0,9.761,6.5,0
ts87369,Rust Valley Restorers,A crew of car lovers at a garage in the Rocky Mountains transforms abandoned heaps of rust into collectible classics.,SHOW,2018,documentation,CA,https://www.netflix.com/watch/80203254,https://www.youtube.com/watch?v=hPLRO1DevtQ,45,7.8,2732.0,12.127,8.1,1
tm374132,Bird Box,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.",MOVIE,2018,"thriller, drama, horror, scifi",US,https://www.netflix.com/watch/80196789,https://www.youtube.com/watch?v=o2AsIXSh2xo,124,6.6,325194.0,47.18,6.9,0
ts78080,Everything Sucks!,"It's 1996 in a town called Boring, Oregon, where high school misfits in the AV and drama clubs brave the ups and downs of teenage emotions in the VHS era.",SHOW,2018,"drama, comedy",US,https://www.netflix.com/watch/80117551,https://www.youtube.com/watch?v=-mMr16Xt2Fc,24,7.5,18023.0,17.251,7.8,1
ts55645,Five Came Back,"The extraordinary story of how Hollywood changed World War II – and how World War II changed Hollywood, through the interwoven experiences of five legendary filmmakers who went to war to serve their country and bring the truth to the American people: John Ford, William Wyler, John Huston, Frank Capra, and George Stevens. Based on Mark Harris’ best-selling book, “Five Came Back: A Story of Hollywood and the Second World War.”",SHOW,2017,"war, documentation, history",US,https://www.netflix.com/watch/80049928,https://www.youtube.com/watch?v=5JuiCTz6Khw,65,8.3,4600.0,5.86,7.7,1
tm319818,Outlaw King,"Forced into exile by the English after being crowned King of Scotland, legendary warrior Robert the Bruce fights to reclaim the throne.",MOVIE,2018,"drama, action, history, war","GB, US",https://www.netflix.com/watch/80190859,https://www.youtube.com/watch?v=Q-G1BME8FKw,121,6.9,69834.0,24.14,6.8,0
ts78558,Queer Eye,"An all-new “Fab Five” advise men on fashion, grooming, food, culture and design in this modern reboot of the Emmy Award-winning reality series.",SHOW,2018,reality,US,https://www.netflix.com/watch/80160037,https://www.youtube.com/watch?v=GZMrivD2Aok,47,8.5,18147.0,15.751,7.8,1
ts79926,James Acaster: Repertoire,"Offbeat comic James Acaster covers the strange, the mundane and everything in between in this collection of four wide-ranging stand-up specials.",SHOW,2018,comedy,GB,https://www.netflix.com/watch/80213803,https://www.youtube.com/watch?v=T9_0_kJzIa0,52,8.4,3545.0,2.462,8.4,1
ts56648,The Keepers,This docuseries examines the decades-old murder of Sister Catherine Cesnik and its suspected link to a priest accused of abuse.,SHOW,2017,"crime, action, drama, documentation",US,https://www.netflix.com/watch/80122179,https://www.youtube.com/watch?v=Khr7dbuBjuE,56,7.6,14.0,8.556,7.5,1
